Species,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
chamFor,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2306250,1742044.67328302,0.18607995277664,0.204919237887816
chamFor,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,3012079,2277809.82073032,0.243029818137456,0.267942068120319
chamFor,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3264195,2468783.7396386,0.263371816348507,0.290406606785326
cyclLon,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2139512,1614768.60601714,0.172626684845552,0.189947569763869
cyclLon,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,2796734,2112996.38083804,0.225654690796237,0.24855482448968
cyclLon,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3118853,2359040.68982942,0.25164488626874,0.27749737289754
lariGme,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,1427506,864476.153028055,0.115178427780323,0.101689581884746
lariGme,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,2165813,1339201.94793603,0.174748782986681,0.157532264675939
lariGme,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,2382055,1491655.38406748,0.192196284839613,0.175465583163437
lariOlg,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2298055,1448450.01084386,0.185418738592139,0.170383272537638
lariOlg,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,3099338,1966059.15356934,0.250070317042318,0.231270385639725
lariOlg,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3212558,2040565.08538567,0.259205481163021,0.240034626304777
phylPub,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2590274,1954611.48166995,0.208996450340838,0.229923779414758
phylPub,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,3061989,2317790.70426733,0.247056810199497,0.272645077354317
phylPub,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3170251,2398332.9546539,0.25579193772145,0.28211937891507
pinuSyl,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,1738347,1088840.27663733,0.140258656984027,0.128081858687116
pinuSyl,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,2629108,1661616.6195659,0.212129774519105,0.19545836944668
pinuSyl,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,2861832,1822968.85644898,0.230907127767881,0.214438466754553
pinuYun,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,4091339,2995103.35530611,0.330109991507089,0.352318345434793
pinuYun,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,5825543,4189166.53346373,0.470034370227982,0.49277772642003
pinuYun,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,6138922,4400712.26592144,0.49531937815045,0.517662157306614
querVar,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,5422550,3797120.86879256,0.437518850050501,0.446660827092623
querVar,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,6488200,4528636.42556225,0.523500899557894,0.532710061475244
querVar,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,6612375,4614002.36140818,0.533519968668372,0.542751780142631
robiPse,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2874787,1840615.49556631,0.231952402906405,0.216514266471211
robiPse,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,3305208,2107943.20630167,0.266680953303836,0.247960412250553
robiPse,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3396130,2167161.64414564,0.274017001636132,0.254926362859055
saliMat,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,1563857,996759.854704019,0.126179918356387,0.117250305296811
saliMat,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,2385745,1518731.68710387,0.192494012764056,0.178650607903693
saliMat,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,2529147,1615176.57456795,0.204064413799536,0.189995559695354
